SN,LOWER,UPPER,CO
1,100,999,0
2,1000,1999,300
3,2000,2999,400
4,3000,3999,600
5,4000,4999,650
6,5000,5999,950
7,6000,6999,950
8,7000,7999,1000
9,8000,9999,1000
10,10000,14999,1450
11,15000,19999,1450
12,20000,29999,1850
13,30000,39999,1850
14,40000,49999,2350
15,50000,99999,2700
16,100000,199999,3650
17,200000,299999,5300
18,300000,399999,6500
19,400000,499999,7000
20,500000,599999,7500
21,600000,699999,8000
22,700000,799999,8000
23,800000,899999,8000
24,900000,1000000,8000
25,1000001,3000000,8000
26,3000001,5000000,10000
27,5000001,10000000,10000
